red,vrsta_naloga,vrsta_institucije,Grad,email,Link za Uputstva za Donacije,Ime Institucije,nalog,Username,Full Name,Biography,Followers Count,Following Count,Posts Count,Is Private,Is Verified,External URL,Category,Pronouns,Bio Link 1,Bio Link 2,Bio Link 3,,,,,ime_institucije
,Ustanove,Srednja,Beograd,,,"ETŠ ""Nikola Tesla""",https://www.instagram.com/ets_tesla_blokada/,ets_tesla_blokada,Блокада у Електротехничкој школи „Никола Тесла“,• Самоорганизована група ученика Електротехничке школе „Никола Тесла“,"1,117",32,12,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,trinaestablokade@gmail.com,,XIII beogradska gimnazija,https://www.instagram.com/xiii_blokada/,xiii_blokada,,"Samoorganizovani maturanti XIII beogradske gimnazije
Zvanični mail: trinaestablokade@gmail.com","1,112",9,10,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,Filološka gimnazija,https://www.instagram.com/blokada.fgbg/,blokada.fgbg,Filološka gimnazija,#blokada #rukesuvamkrvave,"1,107",77,4,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,I beogradska gimnazija,https://www.instagram.com/prva_u_blokadi/,prva_u_blokadi,Blokada Prve beogradske gimnazije,"Profil samoorganizovanih maturanata Prve beogradske gimnazije 📚
@prva.beogradska.gimnazija","1,096",48,10,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Beograd,,POTREBNI RESURSI,Beogradska akademija poslovnih i umetničkih strukovnih studija,https://www.instagram.com/bapuss_blokada/,bapuss_blokada,BAPUSS BLOKADA,,"1,079",115,17,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,Zemunska gimnazija,https://www.instagram.com/zg_blokada/,zg_blokada,Blokada Zemunske gimnazije,Samoorganizovani maturanti Zemunske gimnazije,"1,055",34,17,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Sremska Mitrovica,,,Gimnazija Sremska Mitrovica,https://www.instagram.com/blokada_mitrovacka_gimnazija/,blokada_mitrovacka_gimnazija,Samoinicijativna organizacija maturanata Mitrovačke gimnazije,Mitrovačka gimnazija je (u)stala,"1,037",89,8,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,POTREBNI RESURSI,Geografski fakultet,https://www.instagram.com/gis.se.budi/,gis.se.budi,ГИС СЕ БУДИ,"""Живот је кратак, али траг од живота може дуго трајати."" - Исидора Секулић","1,036",12,4,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Požarevac,,,Gimnazija u Požarevcu,https://www.instagram.com/blokada.pogim/,blokada.pogim,Ученици Пожаревачке гимназије,"БЛОКАДА!
(У)СТАНИ","1,031",52,7,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Novi Sad,,,Fakultet sporta i fizičkog vaspitanja,https://www.instagram.com/fsfvns_blokada/,fsfvns_blokada,,"BLOKADA
Fakulteta sporta i fizičkog vaspitanja 
Novi Sad","1,017",50,29,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Užice,,,Gimnazija u Užicu,https://www.instagram.com/blokada.ug/,blokada.ug,Матуранти Ужичке гимназије,"(У)стали смо!
Да дођу деца, да оду људи.","1,014",74,7,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Lazarevac,,,Gimnazija u Lazarevcu,https://www.instagram.com/blokada.gimnazijaulazarevcu/,blokada.gimnazijaulazarevcu,Блокада Гимназије у Лазаревцу,Самоиницијативна група средњошколаца.,"1,013",132,7,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,Grafička škola,https://www.instagram.com/zastani.graficka/,zastani.graficka,Zastanimo.Grafičari,",,Zastani Grafička” je glas podrške studentima i znak solidarnosti sa nastradalima u Novom Sadu, sa jasnim zahtevom za pravdu i odgovornost.","1,012",70,33,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,Matematička gimnazija,https://www.instagram.com/mg_blokada/,mg_blokada,Самоорганизовани матуранти Математичке гимназије,,"1,005",42,12,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Šabac,,,Gimnazija Šabac,https://www.instagram.com/blokada_sg/,blokada_sg,Učenici Šabačke Gimnazije,Samoorganizovani maturanti Šabačke gimnazije su u blokadi.,967,45,9,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Niš,,,Ekonomski fakultet,https://www.instagram.com/eknfak.blokada/,eknfak.blokada,,"Blokada Ekonomskog Fakulteta
Univerzitet u Nišu",958,53,14,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Kragujevac,,,Ekonomski fakultet,https://www.instagram.com/blokada_ekf/,blokada_ekf,Podrška studentima - Ekonomski fakultet u Kragujevcu,Studenti Ekonomskog fakulteta u Kragujevcu  staju uz svoje kolege i koleginice sa ostalih fakulteta!,925,59,17,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Obrenovac,,,Gimnazija u Obrenovcu,https://www.instagram.com/gimnazija.u.obrenovcu.blokada/,gimnazija.u.obrenovcu.blokada,Blokada Gimnazije u Obrenovcu,"- Samoorganizovana grupa učenika Gimnazije u Obrenovcu
- Priključi se blokadi
#blokada #rukesuvamkrvave",864,85,3,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Subotica,,,Ekonomski fakultet Subotica,https://www.instagram.com/blokada.ef.su.uns/,blokada.ef.su.uns,"нЕКО мора, а то смо МИ!",Једини званични профил студентске блокаде Економског факултета у Суботици.,850,28,14,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Novi Sad,,,"Gimnazija ""Laza Kostić""",https://www.instagram.com/lazina.se.budi/,lazina.se.budi,Maturanti gimnazije “Laza Kostić”,"Lazinaši više neće da ćute,
Santa Maria della Salute ‼️",844,91,13,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Novi Sad,,,Visoka škola strukovnih studija za obrazovanje vaspitača,https://www.instagram.com/vaspitaci_u_blokadi/,vaspitaci_u_blokadi,Blokada Visoke škole strukovnih studija za obrazovanje vaspitača,Novi Sad,823,67,20,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Zrenjanin,,,"Tehnički fakultet ""Mihajlo Pupin""",https://www.instagram.com/blokada.tfzr/,blokada.tfzr,Studenti TFZR-a,,819,44,11,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Beograd,,,Singidunum,https://www.instagram.com/studenti_singidunuma/,studenti_singidunuma,Singi protest,"Zvanični profil samoorganizovane grupe studenata Singidunuma.
Pružamo podršku studentima širom Srbije.",810,70,6,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Novi Sad,,,"TŠ ""Mileva Marić Ajnštajn""",https://www.instagram.com/mileva.maric.se.budi/,mileva.maric.se.budi,"Неформална организација ученика ТШ,,Милева Марић Ајнштајн""",линк за приступ ученичкој групи ⬇️,795,90,13,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Beograd,,POTREBNI RESURSI,Viša hotelijerska škola,https://www.instagram.com/vhs.blokada/?__d=1%252F,vhs.blokada,,"Neprofitna, nestranačka, samoorganizovana grupa studenata VHS.
Blokada🖐🏽❗️",768,65,9,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,XII beogradska gimnazija,https://www.instagram.com/blokadamaturanata.xii/,blokadamaturanata.xii,Maturanti XII Gimnazije,"Самоиницијативна и политички неутрална блокада наставе.
Једини прави профил.  
www.tiktok.com/@blokadamaturanata_xii",762,38,7,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Niš,,https://www.instagram.com/p/DDp3qGLM4oF/,Prirodno matematički fakultet,https://www.instagram.com/pmfnis_blokada/,pmfnis_blokada,Neformalna grupa studenata PMF-a u Nišu,"Prirodno-matematički fakultet i te kako ima veze sa projektom ,,𝙅𝙖𝙙𝙖𝙧""
#NešKopat",746,38,25,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Novi Sad,,,Visoka poslovna škola,https://www.instagram.com/blokada_vps/,blokada_vps,Visoka Poslovna Škola Novi Sad,,735,58,15,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Kragujevac,,Донације,Fakultet tehnoloških nauka,https://www.instagram.com/blokada_fink/?hl=en,blokada_fink,Studenti Fakulteta Inženjerskih nauka u Kragujevcu,"Самоорганизована, непрофитна, нестраначка група студената настала са циљем да осигура права и слободу студената",732,57,14,FALSE,FALSE,https://finkblokada.github.io/rs/,,,https://finkblokada.github.io/rs/,https://finkblokada.github.io/rs/,,,,,,
,Ustanove,Viša,Beograd,,,Fakultet za medije i komunikacije,https://www.instagram.com/blokada.fmk/,blokada.fmk,,Studenti FMK-a traže krivičnu odgovornost za tragediju u Novom Sadu i za napade na studente i profesore na protestima! ✊🏻,724,29,1,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Ivanjica,,,Gimnaazija Ivanjica,https://www.instagram.com/gimnazijaic_blokada/,gimnazijaic_blokada,Blokada Gimnazije u Ivanjici,"Samoorganizovana grupa ucenika Gimnazije u Ivanjici
Prikljuci se blokadi
Ruke su vam krvave
#blokada #rukesuvamkrvave",719,62,2,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,"Gimnazija ""Sveti Sava""",https://www.instagram.com/gssublokadi/,gssublokadi,gimnazija sveti sava u blokadi,"@gimn.sv.sava
samoorganizovani maturanti
DRŽAVA JE VLASNIŠTVO DECE",686,22,9,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,Prva ekonomska škola,https://www.instagram.com/pes_u_blokadi/,pes_u_blokadi,,Самоорганизована група матураната из Прве економске школе,677,113,4,FALSE,FALSE,,,,,,,Донације,,,,
,Ustanove,Srednja,Subotica,,,"Gimnazija ""Svetozar Marković""",https://www.instagram.com/gimnazijasu.protest/,gimnazijasu.protest,"Učenički protest Gimnazije ""Svetozar Marković""","Zvanični informativni profil                                                         
Počast žrtvama tragedije u Novom Sadu i podrška studentima",676,157,8,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Niš,,,Fakultet sporta i fizičkog vaspitanja,https://www.instagram.com/blokada.dif/,blokada.dif,Blokada FSFV Niš,Zvanična stranica studenata Fakulteta sporta i fizičkog vaspitanja u Nišu u blokadi!,675,62,9,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Novi Pazar,,,Državni univerzitet u Novom Pazaru,https://www.instagram.com/studentski.protesti.dunp/,studentski.protesti.dunp,Studentski protesti DUNP,Zvaničan profil grupe slobodnih studenata SP Psihologije DUNP-a koji pružaju podršku studentima širom zemlje u blokadi,675,53,6,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Sombor,,,Pedagoški fakultet,https://www.instagram.com/pefso_blokada/,pefso_blokada,,PEDAGOŠKI FAKULTET SOMBOR,667,98,17,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,VI beogradska gimnazija,https://www.instagram.com/vi_blokada/,vi_blokada,VI гимназија,Профил направљен од стране матураната VI београдске гимназије у циљу подршке студентима.,656,34,6,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Beograd,,,Računarski fakultet,https://www.instagram.com/raf_protest/,raf_protest,Студенти РАФ-а,Самоорганизована група студената РАФ-а,652,20,9,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Beograd,,POTREBNI RESURSI,Fakultet za fizičku hemiju,https://www.instagram.com/blokadaffh/,blokadaffh,Blokada Fakulteta za fizičku hemiju,,635,77,16,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Novi Sad,,,Ekonomska škola,https://www.instagram.com/ekonomska.se.budi/,ekonomska.se.budi,Ekonomska se budi,"Ekonomska škola “Svetozar Miletić”, Novi Sad",607,87,5,FALSE,FALSE,,,,,,,,,,,
,Krovni Nalozi,-,Bečej,,,Samoorganizovana grupa mladih iz Bečeja,https://www.instagram.com/becej_se_budi/,becej_se_budi,Самоорганизована група младих из Бечеја,"Одлучно уз студенте, до испуњења захтева
Руке су им крваве!",599,45,6,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Niš,,,Filozofski fakultet,https://www.instagram.com/filfak.blokada/,filfak.blokada,Блокада Филозофског факултета у Нишу,До испуњења захтева!,590,57,8,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Novi Sad,,,Muzička i baletska škola,https://www.instagram.com/umetnost.se.budi/,umetnost.se.budi,Maturanti Baletske i Muzičke škole,"Svaki dan od 11:52-12:07
Bulevar cara Lazara 67, Novi Sad",586,87,12,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Novi Sad,,,"Škola za dizajn ""Bogdan Šuput""",https://www.instagram.com/suput.ne.cuti/,suput.ne.cuti,Maturanti Škole za dizajn „Bogdan Šuput“,"•
Sistemu treba novi dizajn",569,37,6,FALSE,FALSE,,,,,,,,,,,
,Krovni Nalozi,-,-,,,Samoorganizovana grupa srednjoškolaca,https://www.instagram.com/i.mi.mladji.se.pitamo/,i.mi.mladji.se.pitamo,Samoorganizovana grupa srednjoskolaca,"Ovo je nezavisna i neprofitna inicijativa srednjoškolaca, formirana u cilju zaštite prava i sloboda učenika srednjih škola, kao i podrške studentima.",539,32,4,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Beograd,,https://www.instagram.com/stories/highlights/18042165530191247/,Visoko gradjevinsko geodetska škola,https://www.instagram.com/vggs_blokada/,vggs_blokada,BLOKADA studenata Visoko gradjevinsko geodetske škole,studentivggs16@gmail.com,535,77,7,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,"Muzička škola ""Stanković""",https://www.instagram.com/stankovic.blokada/,stankovic.blokada,Ученици Музичке Школе Станковић,,514,63,8,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,Škola za dizajn,https://www.instagram.com/dizajnerska_blokada/,dizajnerska_blokada,Maturanti Škole za dizajn,,478,108,7,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Novi Sad,,,Visoka tehnička škola,https://www.instagram.com/blokada_vtsns/,blokada_vtsns,Zvanični profil Visoke tehničke škole u blokadi,"🛑 Samoorganizovani studenti 
🛑 Zahtevamo pravdu!
🛑 Zvanično blokiran od 16.12.",478,67,11,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,Druga Ekonomska Škola,https://www.instagram.com/blokadades/,blokadades,Druga Ekonomska Škola,Једини прави профил.,473,40,4,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,IV beogradska gimnazija,https://www.instagram.com/iv_blokada/,iv_blokada,Блокада IV гимназије у Београду,Самоиницијативна организација матураната IV гимназије у Београду.,458,92,1,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Beograd,donacijematf@gmail.com,POTREBNI RESURSI,Visoka turistička škola,https://www.instagram.com/vts.blokada/,vts.blokada,Samoorganizovana grupa studenata VTŠ,Neprofitna i nestranačka grupa sudenata Visoke Turističke škole,448,78,18,FALSE,FALSE,,,,,,,,,,,Prirodno Matematicki Fakultet
,Krovni Nalozi,-,Valjevo,,,Blokada Valjevo,https://www.instagram.com/studenti.valjevo/,studenti.valjevo,blokada.valjevo,"-Званични профил блокада у Ваљеву. Факултета,виших и средњих школа!!!
-Ваљево (У)СТАНИ!!!
-Корупција убија!!!
Тикток: @studenti.valjevo",448,116,9,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Beograd,,,Akademija tehničko - umetničkih strukovnih studija,https://www.instagram.com/dtm.blokada/,dtm.blokada,dtm blokada,Akademija tehničko - umetničkih strukovnih studija Beograd (Odsek visoka tekstilna škola za dizajn tehnologiju i menadžment),428,96,18,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Leskovac,,,"Ekonomska škola ""Đuka Dinić""",https://www.instagram.com/blokada.ekonomska.leskovac/,blokada.ekonomska.leskovac,"Samoorganizovani učenici Ekonomske škole ""Đuka Dinić"" u Leskovcu",,403,100,2,FALSE,FALSE,,,,,,,,,,,
,Krovni Nalozi,Srednja,Beograd,,,Za našu decu,https://www.instagram.com/blokada.srednjoskolci.bg/,blokada.srednjoskolci.bg,За нашу децу,Ми смо она деца која се не виде из ваших фотеља.,395,99,3,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Niš,,,Pravni fakultet,https://www.instagram.com/prafakblokada/,prafakblokada,Правници у блокади,"Званичан профил блокаде студената Правног факултета Универзитета у Нишу.
До испуњења захтева!",376,20,2,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Požarevac,,,Ekonomsko-trgovinska škola,https://www.instagram.com/blokada.etspo/,blokada.etspo,Ученици Економско-трговинске школе,"(У)СТАЛИ СМО!
матуранти ЕТШ ПОЖАРЕВАЦ",373,75,4,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Mladenovac,,,Tehnička škola,https://www.instagram.com/tsm.blokada/,tsm.blokada,Блокада Техничке у Младеновцу,Самоорганизована група ученика Техничке школе у Младеновцу подржава право на протест и активно учествује у блокадама образовних институција.,347,145,3,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,Farmaceutsko-fizioterapeutska škola,https://www.instagram.com/ffs.blokada/,ffs.blokada,,Самоорганизовани матуранти Фармацеутско-физиотерапеутске школе у блокади.,344,60,9,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Čačak,,,Fakultet tehničkih nauka,https://www.instagram.com/blokada.ftncacak/?hl=en,blokada.ftncacak,Blokada Fakulteta tehničkih nauka u Čačku,Oni koji ćute pred nepravdom postaju njeni saučesnici. Do ispunjenja zahteva zajedno!,340,2,7,FALSE,FALSE,,Nonprofit organization,,,,,,,,,
,Ustanove,Viša,Bor,,,Tehnički fakultet,https://www.instagram.com/parlament_tfbor/?hl=en,parlament_tfbor,TF Bor Parlament,• Zvaničan instagram profil parlamenta Tehničkog fakulteta u Boru,308,207,19,FALSE,FALSE,,Community,,,,,,,,,
,Ustanove,Srednja,Kraljevo,,,Šumarska škola Kraljevo,https://www.instagram.com/sskv.protest/,sskv.protest,✊🏻,"И ШУМАРСКА ЈЕ (У)СТАЛА
#kraljevoustaje 
БЛОКАДА!",299,57,4,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Šabac,,,"Ekonomska škola ""Stana Milanović""",https://www.instagram.com/blokada_essm/,blokada_essm,"Blokada ekonomske škole ""Stana Milanović "" Šabac","Podrška studentima od maturanata ekonomske škole ""Stana Milanović "", Šabac",288,155,2,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Niš,,,Mašinski fakultet,https://www.instagram.com/masfak.blokada/?hl=en,masfak.blokada,Studenti Mašinskog fakulteta u blokadi,"Studenti u blokadi Mašinskog fakulteta u Nišu.
Za sva pitanja nam pišite putem mejla masfakblokada@gmail.com",286,158,4,FALSE,FALSE,,Student Union,,,,,,,,,
,Ustanove,Srednja,Novi Sad,,,"ETŠ ""Mihajlo Pupin""",https://www.instagram.com/ets_se_budi/,ets_se_budi,Neoficijalni informativni profil,"Učenici ETŠ ""Mihajlo Pupin"" više ne stoje po strani ❗️
Profil namenjen za informisanje učenika i profesora 🖐🏻🩸",286,96,6,FALSE,FALSE,,,,,,,,,,,
,Treća Lica,-,-,,,,https://www.instagram.com/blokada_srbija/,blokada_srbija,Blokadom Do Slobode!,"(U)STANI SRBIJO! 🖐🏼
Neformalna grupa za podršku studentima i borbi za pravdu i bezbednost svih nas!
Do slobodne Srbije!",264,151,1,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Kraljevo,,,Ekonomska škola,https://www.instagram.com/blokada.etskv/,blokada.etskv,БЛОКАДА!,"И ЕКОНОМСКА ЈЕ (У)СТАЛА
#kraljevoustaje
СВЕ званичне информације у вези блокаде ЕТШ су на овом профилу.
Средњошколци Краљева застанимо!",264,45,5,FALSE,FALSE,,,,,,,,,,,
,Treća Lica,-,-,,,,https://www.instagram.com/mladi_srbije/,mladi_srbije,Mladi Srbije,Mi smo samoorganizovana grupa mladih (ima baš mladih). Počeli smo sa radom 20.12.2024. Kao grupa na Instagramu smo se formirali 05.12.2024.,262,177,30,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,"SMŠ ""Nadežda Petrović""",https://www.instagram.com/msnp_blokada/,msnp_blokada,,"Матуранти средње медицинске школе ,,Надежда Петровић” Земун",258,67,8,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,"SŠ ""Drvoart""",https://www.instagram.com/drvoart_blokada/,drvoart_blokada,profil blokade srednje skole drvoart,,247,70,0,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Beograd,,,Visoka ICT škola,https://www.instagram.com/ictublokadi/,ictublokadi,Studenti Visoke ICT u Beogradu,Zvanična stranica samoorganizovane grupe studenata Visoke ICT u blokadi.,246,61,4,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,"SMŠ ""Dr Vojislav Vučković""",https://www.instagram.com/vuckovic.blokada/,vuckovic.blokada,,Званична страница ученика С.М.Ш.  “Др Војислав Вучковић”,231,115,2,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Vranje,,,Pedagoški fakultet,https://www.instagram.com/ngs.pfvr/,ngs.pfvr,Neformalna Grupa Studenata PFVR,Neformalna grupa studenata Pedagoškog fakulteta u Vranju,211,104,4,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,Turistička škola,https://www.instagram.com/turisticka.u.blokadi/,turisticka.u.blokadi,",,Живети слободно!’’",Туристи више не путују јер нема више станица!,208,131,3,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Sopot,,,Ekonomsko-trgovinska škola,https://www.instagram.com/ets.sopot.blokada/,ets.sopot.blokada,,"Zvaničan profil blokade učenika Ekonomsko-trgovinske škole u Sopotu.
Glas učenika se mora čuti!",208,124,4,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Beograd,,,"Ekonomska škola ""Nada Dimić""",https://www.instagram.com/esnd_blokada/,esnd_blokada,,,202,78,2,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,Samoorganizovana grupa učenika Savremene gimnazije,https://www.instagram.com/savremena.podrzava/,savremena.podrzava,,"Samoorganizovana grupa učenika Savremene gimnazije. Ne možemo da stupimo u blokadu, ali podržavamo studente, njihove zahteve i blokade.",192,140,2,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Kragujevac,,,Akademija strukovnih studija Šumadija,https://www.instagram.com/assskg.blokada/,assskg.blokada,Академија струковних студија Шумадија - одсек Крагујевац,,166,100,2,FALSE,FALSE,,,,,,,,,,,
,Treća Lica,-,-,,,,https://www.instagram.com/blokada.protest/,blokada.protest,Blokada,"Ova majica je više od odeće
To je simbol borbe za istinu i pravdu✊
BOLJE DA MENJAMO DRŽAVU, NEGO DA MENJAMO DRŽAVU!
#blokada #protest",158,96,5,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Beograd,,,Srednja tehnička PTT škola,https://www.instagram.com/ptt_blokada/,ptt_blokada,Матуранти Средње техничке ПТТ школе,,154,35,2,FALSE,FALSE,,,,,,,,,,,
,Krovni Nalozi,Srednja,Aranđelovac,,,Deca Aranđelovca,https://www.instagram.com/djaci_arandjelovac/,djaci_arandjelovac,Deca Aranđelovca,Đački parlamenti,128,71,2,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Niš,,,Fakultet zaštite na radu,https://www.instagram.com/fznr.blokada/?hl=en,fznr.blokada,Студенти Факултета заштите на раду у Нишу у блокади,Званична страница студената ФЗНР у блокади,115,19,0,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Srednja,Subotica,,,Medicinska Subotica,https://www.instagram.com/medicinskasu.protest/,medicinskasu.protest,,,88,20,3,FALSE,FALSE,,,,,,,,,,,
,Ustanove,Viša,Beograd,,POTREBNI RESURSI,Beogradska politehnika,https://www.instagram.com/blokada_politehnika/,blokada_politehnika,blokada politehnika,"Neprofitna, nestranačka, samoorganizovana grupa studenata ASSP u blokadi!
Četiri odseka, jedan cilj: BLOKIRAJ!","1,420",106,12,FALSE,FALSE,,Community,,,,,,,,,
